road_address,building_name,unit_est
"강원특별자치도 양구군 양구읍 성곡로 206, A동",아인53펜션,10.0
"강원특별자치도 양구군 양구읍 중앙길 35, 1,2층",양구 태금하우스,5.0
강원특별자치도 양구군 양구읍 파로호로869번길 65-11,인문학마을펜션,3.0
강원특별자치도 영월군 김삿갓면 김삿갓로 362,삿갓펜션,7.0
강원특별자치도 영월군 김삿갓면 두릉골길 35,와석유앤아이,10.0
강원특별자치도 영월군 김삿갓면 영월동로 1107-12,영월 더 블리스 워케이션 센터,25.0
강원특별자치도 영월군 김삿갓면 영월동로 2295-12  비브릿지,비브릿지,14.0
강원특별자치도 영월군 남면 문개실길 37-222  1BL-1  1BL-2  5BL 3동(각2층),더한옥헤리티지,10.0
강원특별자치도 영월군 무릉도원면 도원운학로 475-10  마바사아동 1층,월드니스,4.0
강원특별자치도 영월군 무릉도원면 두산길 199-8,더불어사는터,10.0
강원특별자치도 영월군 북면 덕전길 329,소나무펜션,3.0
강원특별자치도 영월군 산솔면 송운길 87-7,골든파인펜션,6.0
강원특별자치도 영월군 산솔면 태백산로 270-72  외 270-70호,팬션 패트로누스,2.0
강원특별자치도 영월군 상동읍 함백산로 426,장산콘도,12.0
강원특별자치도 영월군 영월읍 덕포시장길 30,키와 스테이,2.0
강원특별자치도 영월군 영월읍 동강로 926-67  926-65  11동(숙박9동  안내데스크 1동  창고1동),영월 더 쉼,9.0
강원특별자치도 영월군 영월읍 태화산로 178-13,플라잉하우스 1호점(영월),1.0
강원특별자치도 영월군 주천면 금용강변로 474  주건축물제1동,영월유앤아이펜션,10.0
강원특별자치도 영월군 주천면 금용강변로 474-4,아틀란티스,8.0
강원특별자치도 영월군 주천면 평창강로 241,든해,2.0
강원특별자치도 영월군 한반도면 선암길 51-22,한반도리버2,4.0
강원특별자치도 영월군 한반도면 선암길 51-24,한반도 리버펜션,2.0
"강원특별자치도 원주시 갈머리2길 11-4, 1,2층 (일산동)",미인사이드,2.0
