road_address,building_name,unit_est
"강원특별자치도 홍천군 서면 상귀량길 193, 2동 2호",(주)반스힐리조트 주2동2호,
"강원특별자치도 홍천군 서면 상귀량길 193, 4동 1호",반스힐풀빌라리조트,
"강원특별자치도 홍천군 서면 상귀량길 193, 4동 2호",(주)반스힐리조트 주4동2호,
"강원특별자치도 홍천군 서면 상귀량길 193, 5동 1호",(주)반스힐리조트 주5동1호,
"강원특별자치도 홍천군 서면 상귀량길 193, 6동",(주)반스힐리조트 주6동,
"강원특별자치도 홍천군 서면 상귀량길 193, 주5동 2호",(주)반스힐리조트 주5동2호,
"강원특별자치도 홍천군 서면 상귀량길 193, 주7동",(주)반스힐리조트 주7동,
"강원특별자치도 홍천군 서면 상귀량길 193, 주8동",(주)반스힐리조트 주8동,
강원특별자치도 홍천군 서면 설밀길 190-11,토리아이풀빌라골프텔,
강원특별자치도 홍천군 서면 설밀길 190-13,토리아이독채패밀리룸,
강원특별자치도 홍천군 서면 설밀길 190-15,토리아이풀빌라스파1동,
강원특별자치도 홍천군 서면 설밀길 190-17,토리아이패밀리룸,
강원특별자치도 홍천군 서면 설밀길 190-19,토리아이풀빌라스파2동,
강원특별자치도 홍천군 서면 설밀길 190-3,토리아이키즈풀빌라,
강원특별자치도 홍천군 서면 설밀길 190-5,토리아이풀빌라키즈,
강원특별자치도 홍천군 서면 설밀길 190-7,토리아이프라이빗빌라,
강원특별자치도 홍천군 서면 설밀길 190-9,토리아이풀빌라,
강원특별자치도 홍천군 서면 안굴업길 39-9,디데이펜션&캠핑,
강원특별자치도 홍천군 서면 오도치길 139-65,하몽하몽키즈풀빌라,
강원특별자치도 홍천군 서면 오도치길 268,약돌배테마관광마을,
강원특별자치도 홍천군 서면 오도치길 80,비요르크,
강원특별자치도 홍천군 서면 팔봉강변길 132-10,푸름다음,
강원특별자치도 홍천군 서면 팔봉강변길 40-8,가족펜션미알레,
강원특별자치도 홍천군 서면 팔봉산로 812,어라운드리버,
강원특별자치도 홍천군 서면 팔봉산로 815,소노리베,
강원특별자치도 홍천군 서면 팔봉산로 820,소노리베뷰,
강원특별자치도 홍천군 서면 팔봉산로 923-13,북성,
강원특별자치도 홍천군 서면 한서로 1466,다인펜션,
강원특별자치도 홍천군 서면 한서로 1468-55,유리트리트,
강원특별자치도 홍천군 서면 한서로 1774-47,더하다,
강원특별자치도 홍천군 서면 한서로 1891-10,봄날펜션,
강원특별자치도 홍천군 서면 한서로 2019-2,엘페로3,
강원특별자치도 홍천군 서면 한서로 2055-3,테라썬B,
강원특별자치도 홍천군 서면 한서로 2055-6,테라썬E,
강원특별자치도 홍천군 서면 한서로 2055-8,테라썬F,
강원특별자치도 홍천군 서면 한서로 2344-12,펜타곤애견펜션,
강원특별자치도 홍천군 서면 한서로 2344-14,펫티움애견펜션,
강원특별자치도 홍천군 서면 한치골길 262,소노벨타워C비발디파크,
강원특별자치도 홍천군 서면 한치골길 262,소노벨타워B비발디파크,
강원특별자치도 홍천군 서면 한치골길 262,소노캄 비발디파크,
강원특별자치도 홍천군 서면 한치골길 262,소노펠리체비발디파크,
강원특별자치도 홍천군 서면 한치골길 262,소노벨타워A비발디파크,
강원특별자치도 홍천군 서면 한치골길 262,소노펠리체빌리지E~H비발디파크,
"강원특별자치도 홍천군 서면 한치골길 262, 대명비발디파크",소노펠리체빌리지A~D비발디파크,
"강원특별자치도 홍천군 서면 한치골길 262, 대명비발디파크",소노펠리체빌리지I~O비발디파크,
강원특별자치도 홍천군 서면 한치골길 62-6,더오딘펜션(J동),
강원특별자치도 홍천군 서면 한치골길 62-8,더오딘펜션(Q동),
강원특별자치도 홍천군 서면 한치골길 62-9,더오딘펜션(K동),
"강원특별자치도 홍천군 서면 한치골길 763, 2~3층",비발디의아침,
강원특별자치도 홍천군 서면 한치골길 83-3,오유원플러스,
강원특별자치도 홍천군 서면 한치골길 83-5,오유원,
강원특별자치도 홍천군 서석면 진여울길 238,원더키즈풀빌라,
강원특별자치도 홍천군 영귀미면 덕치새들길 1-5,펜션21,
강원특별자치도 홍천군 홍천읍 남산강변로 55,LK HOTEL,
강원특별자치도 홍천군 홍천읍 독골길 52-16,밀리언그라운드 홍천,
"강원특별자치도 홍천군 홍천읍 무궁화로 102, 3,4층",대성,
강원특별자치도 홍천군 홍천읍 설악로 1471,W하우스,
강원특별자치도 홍천군 홍천읍 소옥개로 142,호텔화양강,
강원특별자치도 홍천군 홍천읍 영서로 1673,풍경이있는펜션,
강원특별자치도 홍천군 홍천읍 와동로34번길 123,초록,
강원특별자치도 홍천군 화촌면 구룡령로 1016-29,알프스밸리캠핑나라,
강원특별자치도 홍천군 화촌면 군들길 114,베이컨 홍천,
강원특별자치도 홍천군 화촌면 군업안말길 153-14,홍천풀빌라소토보체,
강원특별자치도 홍천군 화촌면 군업안말길 153-16,소토보체,
강원특별자치도 홍천군 화촌면 답연밭길 14-23,해와 달의 마음,
강원특별자치도 홍천군 화촌면 답연밭길 5-1,풀스테이더네이쳐홍천Q,
강원특별자치도 홍천군 화촌면 답연밭길 5-10,풀스테이더네이쳐홍천E,
강원특별자치도 홍천군 화촌면 답연밭길 5-11,풀스테이더네이쳐홍천L,
강원특별자치도 홍천군 화촌면 답연밭길 5-12,풀스테이더네이쳐홍천F,
강원특별자치도 홍천군 화촌면 답연밭길 5-13,주식회사진호개발,
강원특별자치도 홍천군 화촌면 답연밭길 5-14,풀스테이더네이쳐홍천G,
강원특별자치도 홍천군 화촌면 답연밭길 5-16,풀스테이더네이쳐홍천H,
강원특별자치도 홍천군 화촌면 답연밭길 5-18,풀스테이더네이쳐홍천I,
강원특별자치도 홍천군 화촌면 답연밭길 5-2,풀스테이스테이펫홍천,
강원특별자치도 홍천군 화촌면 답연밭길 5-20,풀스테이더네이쳐홍천J,
강원특별자치도 홍천군 화촌면 답연밭길 5-3,풀스테이더네이쳐홍천P,
강원특별자치도 홍천군 화촌면 답연밭길 5-4,풀스테이더네이쳐홍천B,
강원특별자치도 홍천군 화촌면 답연밭길 5-5,풀스테이더네이쳐홍천O,
강원특별자치도 홍천군 화촌면 답연밭길 5-6,풀스테이더네이쳐홍천C,
강원특별자치도 홍천군 화촌면 답연밭길 5-7,풀스테이더네이쳐홍천N,
강원특별자치도 홍천군 화촌면 답연밭길 5-8,풀스테이더네이쳐홍천D,
강원특별자치도 홍천군 화촌면 답연밭길 5-9,풀스테이더네이쳐홍천M,
강원특별자치도 홍천군 화촌면 당무로 855,풀스테이 스테이휴,
강원특별자치도 홍천군 화촌면 도심리길 269-16,나는숲이다,
강원특별자치도 화천군 사내면 물안골길 12-76,-,2.0
강원특별자치도 화천군 하남면 호수길 206-31,테레네 운무(TERENE UNMU),1.0
"경기도 가평군 가평읍 가화로 438-52, A동 1,2층",글램독가평,8.0
"경기도 가평군 가평읍 가화로 440-77 (마장리983-13)주1동~주4동 각1,2층",가평펜션 케이팝 풀빌라,4.0
"경기도 가평군 가평읍 가화로 440-79 (마장리983-30)주1~주4동 각1,2층",케이팝풀빌라2,4.0
"경기도 가평군 가평읍 경반안로 205, 1~2층",느리게걷기키즈가족펜션,4.0
"경기도 가평군 가평읍 경반안로 214-1 (가평읍 경반리 519-3 A동 1층~3층, 519-24 A동 1층 총5호)",펜션이룸,4.0
"경기도 가평군 가평읍 경반안로 357-1, 총5개동 1~5동 각1~2층",더키즈풀빌라,10.0
"경기도 가평군 가평읍 경반안로 365, 2동(1층),3동~7동(각1층~2층)",어푸키즈풀빌라,5.0
"경기도 가평군 가평읍 당목가일길 482-27, 총2개동 A동,B동 1~2층",해나키즈풀빌라1,2.0
"경기도 가평군 가평읍 당목가일길 482-29, 총2개동 주1동,주2동 1층~3층",해나키즈풀빌라2,10.0
"경기도 가평군 가평읍 당목가일길 74-5, 1층~2층",세인트21풀빌라펜션,1.0
"경기도 가평군 가평읍 당목가일길 74-7, 9,17,19,21,23,25,27,29,31,35,37,39,41,43(총15개동 각1층~2층)",세인트21,15.0
"경기도 가평군 가평읍 물안산길 83, 가,나동 각1~2층",브룩스펜션,4.0
경기도 가평군 가평읍 복장포길 118-3,산타마리아,16.0
"경기도 가평군 가평읍 복장포길 46-148, 1층~3층",가평실내수영장온수무료펜션A,8.0
"경기도 가평군 가평읍 복장포길 46-213, 1층",호텔 포레스트 휴,2.0
"경기도 가평군 가평읍 복장포길 46-57, 2층~3층",가평실내수영장온수무료펜션B,4.0
"경기도 가평군 가평읍 복장포길 85-1, 가,나동",개가사는그집,5.0
"경기도 가평군 가평읍 북한강변로 1007-58, 2~4층",가평(남이섬)스텔라풀빌라,3.0
경기도 가평군 가평읍 북한강변로 1007-60,빈체로온수풀빌라,3.0
경기도 가평군 가평읍 북한강변로 1027-78,남이포레풀빌라호스텔,2.0
"경기도 가평군 가평읍 북한강변로 173, B동(103호,104호),C동(101호~105호),D동(101호~104호)",카세리오 펜션,11.0
"경기도 가평군 가평읍 북한강변로 188, 제2동(1층~4층), 북한강변로 188-1, 제3동(1층~4층)",스테이 가람슬기,12.0
"경기도 가평군 가평읍 북한강변로 201-6 (주1동~5동각1,2층)201-16(주1동~5동 각1,2층,6동관리실))201-26(주1동~2동각1,2층)",메종드힐,29.0
"경기도 가평군 가평읍 북한강변로 214, 금대리 510외 1필지",가평클럽보드리조트,9.0
"경기도 가평군 가평읍 북한강변로 226-24, 나동 2~3층",가평남이섬리알토스파수영장가족펜션,6.0
"경기도 가평군 가평읍 북한강변로 254, 각 1층~2층, 총2개동",가평빠지펜션,8.0
경기도 가평군 가평읍 북한강변로 326-109,에끄랑펜션,5.0
"경기도 가평군 가평읍 북한강변로 326-128, ,326-134 총19호",이뜨랜리조트,19.0
"경기도 가평군 가평읍 북한강변로 326-270, 3, 4층",이시스 리조트,4.0
"경기도 가평군 가평읍 북한강변로 326-420, 주1동 1~3층",제이에이치풀빌라&웨스턴글램핑(JH풀빌라&웨스턴글램핑),6.0
"경기도 가평군 가평읍 북한강변로 360-69, B동",카타마린,14.0
"경기도 가평군 가평읍 북한강변로 360-69, C동",남이섬카타마린리조트-C,12.0
"경기도 가평군 가평읍 북한강변로 360-69, C동",레드존+,2.0
"경기도 가평군 가평읍 북한강변로 360-69, D동",남이섬카타마린리조트-D,7.0
"경기도 가평군 가평읍 북한강변로 360-69, E동",남이섬강변리조트(주),7.0
"경기도 가평군 가평읍 북한강변로 360-69, E동",오로라캠프,1.0
"경기도 가평군 가평읍 북한강변로 360-69, F동",남이섬카타마린리조트-F,7.0
"경기도 가평군 가평읍 북한강변로 360-69, F동",크리스월드빌리지 F,3.0
"경기도 가평군 가평읍 북한강변로 360-69, G동",크리스월드빌리지 G-1,14.0
"경기도 가평군 가평읍 북한강변로 360-69, G동",크리스월드빌리지 G-2,2.0
"경기도 가평군 가평읍 북한강변로 360-69, H동",남이섬카타마린리조트-H,2.0
"경기도 가평군 가평읍 북한강변로 360-69, I동",남이섬카타마린리조트-I,11.0
"경기도 가평군 가평읍 북한강변로 360-69, I동",레드존+ I,4.0
경기도 가평군 가평읍 북한강변로 360-89,클로버리조트,19.0
"경기도 가평군 가평읍 북한강변로 479, A, B, C, D 동","라포하임 D동, E동, F동, G동",3.0
"경기도 가평군 가평읍 북한강변로 479-45, 1,2동 각1~2층",라포하임키즈풀리조트,2.0
경기도 가평군 가평읍 북한강변로 479-53,라포하임C동,1.0
"경기도 가평군 가평읍 북한강변로 481-25, 1동~5동 각(1층~2층)",와우키즈풀빌라,8.0
경기도 가평군 가평읍 북한강변로 481-34,더코지 풀빌라,6.0
"경기도 가평군 가평읍 북한강변로 481-35, 1층~4층",리플렉스A,3.0
"경기도 가평군 가평읍 북한강변로 481-39, 1층~4층",라온하제풀빌라펜션,3.0
"경기도 가평군 가평읍 북한강변로 481-41, 1층~4층",라온제나풀빌라펜션,3.0
"경기도 가평군 가평읍 북한강변로 481-43, 1층~4층",리플렉스B,3.0
"경기도 가평군 가평읍 북한강변로 494, 1~3층",에스에스리조트,9.0
"경기도 가평군 가평읍 북한강변로 576, 지하3층~지상4층",라퓨타리조트,19.0
"경기도 가평군 가평읍 북한강변로 752, 지하1~3층",문라이트블루,11.0
"경기도 가평군 가평읍 북한강변로 759-15, 지하1층~지상3층",브이아이피(VIP)풀빌라,19.0
"경기도 가평군 가평읍 북한강변로 759-9, 2동(1층~2층)",비바호텔&리조트 C동,16.0
"경기도 가평군 가평읍 북한강변로 860, 주1동,주2동 (각1~3층), 총2개동",성샤인,5.0
"경기도 가평군 가평읍 북한강변로 882, <이화리186(1동~4동),187-3외3필지(1동~2동),186-2(1동~6동)>",휴먼타운,20.0
"경기도 가평군 가평읍 상지로 1040, 1동~4동 각1층",바비네하우스펜션,4.0
"경기도 가평군 가평읍 석봉로3번길 157-7, 157-9,157-31,157-36,157-39,157-40,157-42,157-43.(1,2층)",환타지콜라보리조트,16.0
"경기도 가평군 가평읍 석봉로3번길 159-6 (1동~3동,각2층), 159-8(가동~다동,각2층)",(주)꿈꾸는집2,18.0
"경기도 가평군 가평읍 염창길 50, 제1동(1층~3층),제2동~제4동(1층~2층)",가평262키즈풀빌라,7.0
"경기도 가평군 가평읍 염창길 66-24, 주1동(1층~3층),주2동(1층~2층)",가평펜션 레릿고,6.0
"경기도 가평군 가평읍 잎너비길 17-66, 가,나,다,라,마,바동 각1층",가평라온빌스파&독채펜션,6.0
"경기도 가평군 가평읍 잎너비길 17-78, 1,2동 각1,2층, 3동 1층",키즈풀빌라똥강아지,6.0
"경기도 가평군 가평읍 태봉두밀로 162, 164,166,168,170 각 지하1층~2층",브룩5(BROOK5),20.0
"경기도 가평군 가평읍 태봉두밀로 173, 175 (각1층~2층)",아베크제이,10.0
"경기도 가평군 가평읍 태봉두밀로 269-100 (1~2층,1층) 가,나동",가평로제펜션,4.0
"경기도 가평군 가평읍 태봉두밀로 269-113, 1층~2층",도우(DOU),7.0
"경기도 가평군 가평읍 태봉두밀로 269-45, 가동, 나동 (각1층~2층)",콜린펜션,6.0
"경기도 가평군 가평읍 태봉두밀로 421-51, 가동(1층~2층),나동(지하1층~2층)",테라스,8.0
"경기도 가평군 가평읍 태봉두밀로 421-57, 1동 1층~2층",마리이야기,3.0
경기도 가평군 가평읍 태봉두밀로 421-74,르시엘펜션,6.0
"경기도 가평군 가평읍 태봉두밀로 494-37, ,494-38 각 1~2층",헬리오스,2.0
"경기도 가평군 가평읍 태봉두밀로 496, 제1동~제10동(각1층~2층)",오리온풀빌라펜션,20.0
"경기도 가평군 가평읍 태봉두밀로 522-151, 1동,2동(각1층,2층),522-155(1층)",힐앤폴하우스,5.0
"경기도 가평군 가평읍 태봉두밀로 522-72, 제1동~제3동 각 1층~2층",에일린,12.0
"경기도 가평군 가평읍 태봉두밀로406번길 14-43, A,B동 1층",마리누스,3.0
"경기도 가평군 가평읍 태봉두밀로406번길 143, A,B동",호호키즈풀빌라,7.0
"경기도 가평군 가평읍 태봉두밀로406번길 153-80, 제1동(지하1층~1층),제6동(1층~2층)",운악골 가평점,4.0
경기도 가평군 가평읍 태봉두밀로596번길 132,다래나무언덕펜션,1.0
"경기도 가평군 가평읍 태봉두밀로596번길 84, 주1동, 주2동 (각1층~2층)",동반84 글램핑,5.0
경기도 가평군 가평읍 태봉안길 188,다이아펜션,4.0
"경기도 가평군 가평읍 호반로 1515-29, 숙박동(1층~3층),로비동(지하1층,2층~3층)",디온,4.0
"경기도 가평군 가평읍 호반로 1616, 1~3층",가평풀빌라펜션벨로시레이크,4.0
"경기도 가평군 가평읍 호반로 1627-20, 제1동 2층~4층",비클래시북한강점(1동),6.0
"경기도 가평군 가평읍 호반로 1627-20, 제2동 2층~4층",비클래시키즈풀빌라북한강점,6.0
"경기도 가평군 가평읍 호반로 1627-91, 1층~3층",스테이 하연,4.0
"경기도 가평군 가평읍 호반로 1643-17, 1동~2동(각1층~2층),3동(1층~3층)",비버스(VIVUS)스크린골프 키즈풀빌라,3.0
"경기도 가평군 가평읍 호반로 1701, 4,5,6,7,8,9동 1층",올댓돔(AII THAT DOME),5.0
"경기도 가평군 가평읍 호반로 2083-23, A,B동 1,2층",라루체풀빌라 동화를걷다,4.0
"경기도 가평군 가평읍 호반로 2083-29, 1동(1층)2동(1~2층)3동(2층)",코코키즈풀빌라,3.0
"경기도 가평군 가평읍 호반로 2083-33, 총2동 1~2층",샤샤키즈풀빌라,6.0
"경기도 가평군 가평읍 호반로 2126, 1~2층",더블스테이풀빌라가평3호점30동,2.0
"경기도 가평군 가평읍 호반로 2126-1, 1~2층",더블스테이풀빌라가평3호점29동,2.0
"경기도 가평군 가평읍 호반로 2126-11, 1~2층",더 스마일 독채 풀빌라3,1.0
"경기도 가평군 가평읍 호반로 2126-12, B동 1층~2층",은하수독채풀빌라1호,1.0
"경기도 가평군 가평읍 호반로 2126-2, 1층~2층",더블스테이쁘띠로26동,1.0
"경기도 가평군 가평읍 호반로 2126-3, 1층~2층",은하수독채풀빌라2호,1.0
"경기도 가평군 가평읍 호반로 2126-6, 주1동 1층~2층",은하수독채풀빌라3호,1.0
"경기도 가평군 가평읍 호반로 2130, 1층~2층",더 스마일 독채 풀빌라2,1.0
"경기도 가평군 가평읍 호반로 2130-10, 호반로2130-12 총2개동 각1층~2층",가평 가봄 키즈 풀빌라,5.0
경기도 가평군 가평읍 호반로 2130-13 (1~2)층,더블스테이풀빌라또또멍가평2호점2동,1.0
"경기도 가평군 가평읍 호반로 2130-3, 1~2층",더블스테이풀빌라또또멍가평1호점10동,1.0
"경기도 가평군 가평읍 호반로 2130-7, 1층~2층",쁘띠라온파티룸펜션,1.0
"경기도 가평군 가평읍 호반로 2130-9, 주1동 1층~2층",더블스테이가평2호점,2.0
"경기도 가평군 가평읍 호반로 2329-31, 51,29(1~2층), 2329-37,41,45(1동,2동 각1~2층)",까사노블풀빌라2,9.0
"경기도 가평군 가평읍 호반로 2329-47, 2329-49 각 1~2층 ,2329-60 제1~2동, 각 1층~2층",가평까사노블풀빌라펜션,8.0
"경기도 가평군 가평읍 호반로 2329-56, 외 1동",더리썸풀빌라,6.0
"경기도 가평군 가평읍 호반로 2329-67, 69,71,61,63,65(각1층~2층)",베르트 풀빌라,6.0
"경기도 가평군 가평읍 호반로 2355-10, 12,20,22(각1층~3층)",아르나풀빌라,12.0
"경기도 가평군 가평읍 호반로 2355-7, 1동~4동 각1층~3층",아르나풀빌라2,12.0
"경기도 가평군 가평읍 호반로 2387, 제1동 1~4층",가평박하사탕펜션,11.0
"경기도 가평군 북면 가화로 1168-26, 1층~2층",가평 르벨라 펜션,4.0
"경기도 가평군 북면 가화로 1168-32, 1~2층",플레이38,4.0
"경기도 가평군 북면 가화로 1168-52, 1층~2층",듀얼스테이포레,5.0
"경기도 가평군 북면 가화로 1364-22, 1동",뉴캐슬,13.0
경기도 가평군 북면 가화로 1364-57,가평 미라발레 독채 단체 풀빌라 펜션,3.0
경기도 가평군 북면 가화로 1364-59,가평미라몬티풀빌라펜션,3.0
"경기도 가평군 북면 가화로 1364-66 (제령리 597-1 A,B,C,가,나,다동 각1~2층, 597-7 A,B,C,D동 각1~2층 총10호)",대지의 천상,10.0
"경기도 가평군 북면 가화로 1422-26, 2층~4층",가인키즈&패밀리 대형온수수영장,5.0
"경기도 가평군 북면 가화로 1462-39, 1~3동",멍스테이펜션,9.0
경기도 가평군 북면 가화로 1468,가평니노키즈풀빌라스파수영장펜션,3.0
"경기도 가평군 북면 가화로 1476-30, 1,2,3동 1,2층",에스앤비펜션,9.0
"경기도 가평군 북면 가화로 2372-25, 2372-47, 총2개동(각1층~2층)",미즈베베 키즈풀빌라,4.0
"경기도 가평군 북면 가화로 2372-28, 1층~2층",아이스크림 키즈 풀빌라,4.0
"경기도 가평군 북면 가화로 2372-31, A동(1층~2층),B동(1층~2층), 총 2개동",가평 스테이낙원 풀빌라 펜션,4.0
"경기도 가평군 북면 가화로 2372-52, 1층~4층",스위트아이풀빌라,3.0
"경기도 가평군 북면 가화로 2372-58, 1~3층",가평베이유키즈풀빌라펜션,1.0
경기도 가평군 북면 가화로 2372-60 (1층~3층),가평베이유키즈풀빌라펜션,2.0
"경기도 가평군 북면 가화로 2372-62, 1층~3층",가평밀크키즈풀빌라가족수영장펜션,1.0
"경기도 가평군 북면 가화로 2372-64, 1층~3층",가평우유키즈풀빌라가족수영장펜션,1.0
"경기도 가평군 북면 가화로 2388-20, 제1동 1층~2층",라온포레키즈풀빌라,3.0
경기도 가평군 북면 가화로 2389-16,레젤프펜션,9.0
"경기도 가평군 북면 가화로 2555-13, 1동~5동,북면가화로2545,A,B동",리치하우스,5.0
"경기도 가평군 북면 가화로 2593, 가, 나동",펜션 루,4.0
"경기도 가평군 북면 가화로 2863-12, 1층~2층",이플펜션,4.0
"경기도 가평군 북면 가화로 3087-29, B,C,D,E,F,G,H동 각1층",스위트밸리 펜션,7.0
경기도 가평군 북면 꽃넘이길 104,"가평엥겔베르그 가족,커플,애견동반스파",7.0
"경기도 가평군 북면 꽃넘이길 108, 1~3층",루체른,7.0
"경기도 가평군 북면 꽃넘이길 112, A~F동",루체른 펜션,7.0
"경기도 가평군 북면 꽃넘이길 115-47, 제2동~9동 (각1층)",무지개농원,8.0
"경기도 가평군 북면 꽃넘이길 35, A동 1층~3층",가평풀빌라더웰니스풀빌라&스파,5.0
"경기도 가평군 북면 꽃넘이길 35-1, 1층~3층",더웰니스펜션,5.0
"경기도 가평군 북면 꽃넘이길 49, 1동,2동,3동(각1층)",로맨틱533펜션&캠프,3.0
"경기도 가평군 북면 꽃넘이길 51, 주1동, 1층 일부",별빛마루펜션계곡유원지,1.0
"경기도 가평군 북면 꽃넘이길 59, 가동,나동 1~2층",가평 티앤 풀빌라 키즈 가족 스파펜션,6.0
"경기도 가평군 북면 꽃넘이길 63 (총2개동) 1동,2동 각1~2층,1층",티앤스파펜션,7.0
경기도 가평군 북면 꽃넘이길 71-1,은하눌풀빌라,6.0
"경기도 가평군 북면 꽃넘이길 72, D동 1,2층",내림스테이 감성 풀빌라,6.0
"경기도 가평군 북면 꽃넘이길 72, E동 1~2층",가평 콩콩키즈 풀빌라,2.0
경기도 가평군 북면 꽃넘이길 73,포그니,5.0
"경기도 가평군 북면 꽃넘이길 84, A,B,C동",달그린키즈풀빌라&스파,6.0
"경기도 가평군 북면 꽃넘이길 87-11, 가,나동 1~3층",테라피스파펜션,8.0
"경기도 가평군 북면 꽃넘이길 87-13, 가동,나동 (각1층~2층)",까사벨라풀빌라,5.0
"경기도 가평군 북면 꽃넘이길 87-19, 1~2층",카사레스,7.0
"경기도 가평군 북면 꽃넘이길 87-25, 1동(1층~3층), 2동(1층)",디노펜션,6.0
"경기도 가평군 북면 꽃넘이길 87-47, 1동 1~3층",륀느펜션,6.0
"경기도 가평군 북면 꽃넘이길 95, 나,다,라동",쇼콜라펜션,3.0
"경기도 가평군 북면 논남기길 14-1, 1동(1~2층),2동(1층),14-2 1동~5동(각1,2층), 14-3(1~2층)",잠깨고키즈풀빌라,7.0
"경기도 가평군 북면 논남기길 510-1, A, A-1, B, C, C-1, D동 각 1~2층",텔렘,6.0
"경기도 가평군 북면 논남기길403번길 63, 1동,2동 각1층",403벨리(valley),2.0
"경기도 가평군 북면 막골길 18-124, 주1동~3동 1층, 주4동(관리동)",낮잠,3.0
"경기도 가평군 북면 멱골로 145, 2동 1~2층,옥탑1층",유키즈풀빌라펜션,3.0
"경기도 가평군 북면 멱골로 204-17, A동B동C동(각1,2층), E동(1층)",뮤위즈풀빌라,4.0
"경기도 가평군 북면 멱골로 204-20, 1동(1층),2동~4동(각2층)",오드아이키즈풀빌라,6.0
"경기도 가평군 북면 멱골로 204-29, 주1,2동",힐링포레스트,1.0
"경기도 가평군 북면 멱골로 204-31, 제1동,제2동,제3동 각1층~2층",보니애키즈풀빌라,3.0
"경기도 가평군 북면 멱골로 205-10, 제1동~제5동 각 1층",또바기스파글램핑,5.0
"경기도 가평군 북면 멱골로 237, 주1~주8동(각1층), 멱골로 239 주9동(1층), 총9개동",오쿨리펜션,9.0
"경기도 가평군 북면 멱골로272번길 122 (북면 목동리 214-1 (2~3층), 214-2(214-3) 1~2층 총16호",미유풀빌라앤스파펜션,16.0
"경기도 가평군 북면 백둔로 105-2, 1,2층",가평 백낙제101 가족 단체 풀빌라,3.0
경기도 가평군 북면 백둔로 132,폴라리스키즈펜션,7.0
"경기도 가평군 북면 백둔로 238, A동, 238-5 주1동, 주2동",인펜션,8.0
"경기도 가평군 북면 백둔로 325, 1~2층",스토리벨리펜션,5.0
"경기도 가평군 북면 백둔로 379 (백둔리 342-2), 총1개동 1~2층",가평노팅힐계곡애견펜션A,4.0
"경기도 가평군 북면 백둔로 379 (백둔리 343외3필지),총1개동 1~2층",노팅힐펜션C,3.0
"경기도 가평군 북면 백둔로 379, 1~2층",가평노팅힐계곡애견펜션,4.0
경기도 가평군 북면 백둔로 389,포시즌밸리계곡애견펜션,7.0
"경기도 가평군 북면 백둔로 441, 주1동(3층), 주8동~주22동(각1층)",연인산다목적캠핑장,23.0
"경기도 가평군 북면 백둔로 458-31 (1동2층), 458-34(제1동 1층~4층)",오세르키즈앤패밀리풀빌라,6.0
"경기도 가평군 북면 백둔로 483, 1~14동",가평글램하바나풀빌라펜션,14.0
"경기도 가평군 북면 백둔로 485, 총 4개동 1~4동",가평글램하바나펜션,3.0
"경기도 가평군 북면 백둔로 508, 1~2층",아이캐슬,2.0
"경기도 가평군 북면 백둔로 510-130, A,B,C동",깊은사나래,6.0
"경기도 가평군 북면 백둔로 510-16, 1층~3층",뚜르키즈풀빌라펜션,4.0
"경기도 가평군 북면 백둔로 510-20, 가동(2층~3층)나동(1층~2층)다동(1~2층)",아이캐슬2,5.0
"경기도 가평군 북면 백둔로 510-60, 1층~4층",바니힐키즈풀빌라,7.0
"경기도 가평군 북면 백둔로 510-64, 2,3,4층",끌레르키즈풀빌라,7.0
"경기도 가평군 북면 백둔로 52, 플로라펜션 A동 1~2층",플로라,8.0
"경기도 가평군 북면 백둔로 567-10, 가,나동",코지키즈펜션,5.0
"경기도 가평군 북면 백둔로 61-48, 61-50 각1~2층",가평소베라노독채풀빌라,2.0
"경기도 가평군 북면 백둔로 61-62, 제1동",가평라비에벨독채풀빌라,2.0
"경기도 가평군 북면 백둔로 61-72, 1,2층",통통키즈풀빌라,6.0
"경기도 가평군 북면 백둔로 61-76, 주1동 1층~2층",하릅펜션,8.0
"경기도 가평군 북면 백둔로133번길 12-12, 2~3층",ZANI pension(자니펜션),4.0
"경기도 가평군 북면 백둔로133번길 12-7, 2,3층",어울림펜션,5.0
"경기도 가평군 북면 백둔로133번길 34, 제1동~3동(각1층~2층), 제4동(1층)",곰사냥을떠나자펜션,10.0
"경기도 가평군 북면 백둔로133번길 40, A,B동",아이엠101,9.0
"경기도 가평군 북면 백둔로133번길 68-26, 1동 1,2층",하늘2,5.0
"경기도 가평군 북면 백둔로133번길 68-26, 가,나동",하늘,7.0
"경기도 가평군 북면 백둔로133번길 68-34, 2,3층",감사한펜션,10.0
경기도 가평군 북면 백둔로133번길 72,가평더뮤즈펜션,8.0
"경기도 가평군 북면 백둔로133번길 8, 1동(지하1층~2층), 2동(1층)",계곡휴펜션,7.0
"경기도 가평군 북면 백둔로467번길 36-46, A,B동",비481감성펜션,6.0
"경기도 가평군 북면 백둔로467번길 5-7, <1동(1층~2층), 2동(1층)>",NO.9 넘버나인 펜션,9.0
"경기도 가평군 북면 백둔로467번길 65-25, A,B,C동",베네치아,6.0
"경기도 가평군 북면 백둔로467번길 65-27, 1~3층",로렌시아,6.0
경기도 가평군 북면 백둔로650번길 62,가평전원별장펜션,2.0
"경기도 가평군 북면 싸리재길 16, 2동 1,2층",나비잠,7.0
"경기도 가평군 북면 싸리재길 97-4, 1~3층",헤테로토피아,1.0
